"","Species_name","Alt_name.notes","Family","Order","Genome","Annotated..NCBI.","Diel_Pattern","AltDiel_Pattern","Method.1","Confidence.1","Comments.1","Source.1","Method.2","Confidence.2","Comments.2","Source.2","Method.3","Confidence.3","Comments.3","Source.3","Method.4","Confidence.4","Comments.4","Source.4","X","X.1"
"207","Manduca florestan","","Sphingidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"208","Manduca diffisa (tropicalis)","","Sphingidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"209","Manduca sexta (paphus)","","Sphingidae","Lepidoptera","No","No","Nocturnal","Crepuscular (dusk)","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"210","Manduca lefeburii","","Sphingidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"211","Manduca rustica (rustica)","","Sphingidae","Lepidoptera","No","No","Nocturnal","Crepuscular","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"212","Xylophanes tersa (tersa)","","Sphingidae","Lepidoptera","No","No","Crepuscular","Nocturnal","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"213","Xylophanes chiron (nechus)","","Sphingidae","Lepidoptera","No","No","Crepuscular","Nocturnal","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"214","Xylophanes amadis","","Sphingidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"215","Isognathus scyron","","Sphingidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"216","Isognathus excelsior","","Sphingidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"217","Automeris larra","","Saturniidae","Lepidoptera","No","No","Crepuscular(dusk)","Nocturnal","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"218","Automeris themis","","Saturniidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"219","Automeris moresca","","Saturniidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"220","Automeris cinctistriga","","Saturniidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"221","Automeris egeus","","Saturniidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"222","Automeris godartii","","Saturniidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"223","Automeris liberia","","Saturniidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"224","Automeris midea","","Saturniidae","Lepidoptera","No","No","Nocturnal","","Field: trapping","2A","Only collected Nocturnal data, there is no Diurnal data to contrast unfortunately","https://doi.org/10.1007/s13744-014-0264-3","",NA,"","","",NA,NA,"","",NA,"","","",""
"225","Elathous cyprius","","Elateridae","Coleoptera","","","Nocturnal","","Review article","1","just claimed Nocturnal","no doi, MLA citation provided: Preiss, RÃ¼diger, and Giuseppe Platia. ""The click beetles of Cyprus with descriptions of two new species and notes on species of the genus Haterumelater Ã”hira, 1968 (Coleoptera: Elateridae)."" Zeitschrift der Arbeitsgemeinschaft Ã–sterreichischer Entomologen 55 (2003): 97-123.","",NA,"","","",NA,NA,"","",NA,"","","",""
"226","Damora pandora","","Nymphalidae","Lepidoptera","","","Diurnal","","Review article","1","claim Diurnal","no doi, I have it downloaded in downloads as Cesa40.pdf","",NA,"","","",NA,NA,"","",NA,"","","",""
"227","Polyommatus daphnis","","Lycaenidae","Lepidoptera","","","Diurnal","","Review article","1","claim Diurnal","same as above","",NA,"","","",NA,NA,"","",NA,"","","",""
"228","Zygaena cuvieri","","Zygaenidae","Lepidoptera","","","Diurnal","","Review article","1","claim Diurnal","same as above","",NA,"","","",NA,NA,"","",NA,"","","",""
"229","Culicoides barbosai","","Ceratopogonidae","Diptera","","","Crepuscular","","Field: trapping","2","dawn preference for dusk slightly, and some morning activity","https://doi.org/10.1093/jmedent/24.4.503","",NA,"","","",NA,NA,"","",NA,"","","",""
"230","Adela reaumurella","","Adelidae","Lepidoptera","","","Diurnal","","Review article","1","","The Lives of Moths: A Natural History of Our Planet's Moth Life, page 55","",NA,"","","",NA,NA,"","",NA,"","","",""
"231","Dysphania militaris","","Geometridae","Lepidoptera","","","Diurnal","","Review article","1","MALE DATA ONLY","The Lives of Moths: A Natural History of Our Planet's Moth Life, page 62","",NA,"","","",NA,NA,"","",NA,"","","",""
